,Name,Paszport,Urodzony,Wzrost,Pozycja,Last team played,Year
87,Jakub Janik,Polska,18.02.2002,193,rozgrywający / rzucający,Akademia Koszykówki Legii Warszawa (2LM),2020/2021
88,Roman Janik,Polska,05.02.1995,184,rzucający,Elektrobud-Investment ZB Pruszków (1LM),2020/2021
89,Michał Jankowski,Polska,15.09.1987,191,rzucający / niski skrzydłowy,Rawlplug Sokół Łańcut (1LM),2020/2021
90,Franciszek Janus,Polska,18.11.2004,184,rozgrywający,Zachodniopomorskie (OOM Dz),2017/2018
91,Damian Jeszke,Polska,06.02.1995,202,niski skrzydłowy / silny skrzydłowy,UNB AZS UMCS Start Lublin (2LM),2020/2021
92,Michał Jędrzejewski,Polska,04.03.1998,184,rozgrywający,WKK Wrocław (1LM),2020/2021
93,Michał Jodłowski,Polska,04.12.1998,208,środkowy,Weegree AZS Politechnika Opolska (1LM),2020/2021
94,Kacper Kabała,Polska,14.06.2002,190,rzucający,Röben Gimbasket Wrocław (2LM),2018/2019
95,Adam Kaczmarzyk,Polska,01.02.1988,198,niski skrzydłowy,Weegree AZS Politechnika Opolska (1LM),2020/2021
96,Karol Kamiński,Polska,28.10.1997,195,rzucający / niski skrzydłowy,Górnik Trans.eu Wałbrzych (1LM),2020/2021
97,Marcel Kapuściński,Polska,22.06.1997,202,silny skrzydłowy / środkowy,Pogoń Prudnik (1LM),2020/2021
98,Filip Karczemny,Polska,29.08.2003,183,rozgrywający / rzucający,,
99,Jakub Karolak,Polska,26.09.1993,196,rzucający / niski skrzydłowy,Legia Warszawa (TOW),2020/2021
